attacker,defender,overtake,year,race_name,round_number,event_date,lap_number,total_laps,race_progress,attacker_position,defender_position,attacker_lap_time,defender_lap_time,gap_ahead,pace_delta,attacker_speed_i1,defender_speed_i1,attacker_speed_i2,defender_speed_i2,attacker_finish_line_speed,defender_finish_line_speed,attacker_straight_speed,defender_straight_speed,speed_i1_delta,speed_i2_delta,speed_fl_delta,speed_st_delta,safety_car,yellow_flag,attacker_tyre_compound,defender_tyre_compound,attacker_tyre_age,defender_tyre_age,tyre_age_difference,attacker_stint,defender_stint,attacker_fresh_tyre,defender_fresh_tyre,pit_stop_involved,track,sector,sector_type,is_in_drs_zone,drs_zone_length,track_type,attacker_qualification_rank,defender_qualification_rank,air_temp,track_temp,humidity,rainfall,wind_speed,overtake_within_2,overtake_within_3,sector1_delta,sector2_delta,sector3_delta,strongest_sector,compound_mismatch,attacker_team,defender_team,same_team,gap_to_car_ahead,gap_to_car_behind,drs_train_size,race_phase,stint_phase,attacker_overtake_rate_last5,defender_defend_rate_last5,attacker_team_pace_rank,defender_team_pace_rank,team_delta,attacker_positions_gained_avg,defender_positions_gained_avg,attacker_quali_vs_teammate,defender_quali_vs_teammate,attacker_race_pace_vs_teammate,defender_race_pace_vs_teammate
PER,ALO,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,2,1,97.257,96.851,0.0,-0.4060000000000059,285.0,276.0,302.0,289.0,295.0,275.0,303.0,293.0,9.0,13.0,20.0,10.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,1,2,25.9,31.6,56.0,False,1.8,False,True,0.0,0.06099999999999994,0.37099999999999866,2,False,Red Bull Racing,Aston Martin,False,99.0,0.0,20,opening,fresh,0.12,0.9782608695652174,10.0,10.0,0.0,0.5,1.25,-1.75,-2.0,-0.9894268939393918,0.013455258511690715
RUS,PER,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,3,2,98.652,97.257,0.0,-1.394999999999996,282.0,285.0,296.0,302.0,289.0,295.0,310.0,303.0,-3.0,-6.0,-6.0,7.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,3,1,25.9,31.6,56.0,False,1.8,False,False,0.0,-0.277000000000001,-0.08899999999999864,-1,False,Mercedes,Red Bull Racing,False,0.0,0.0,20,opening,fresh,0.2222222222222222,0.8421052631578947,10.0,10.0,0.0,-0.25,0.5,0.25,-1.75,-1.0466218030872447,-0.9894268939393918
STR,RUS,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,4,3,99.093,98.652,0.0,-0.4410000000000025,288.0,282.0,302.0,296.0,290.0,289.0,304.0,310.0,6.0,6.0,1.0,-6.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,5,3,25.9,31.6,56.0,False,1.8,False,False,0.0,0.14000000000000057,-0.013999999999999346,1,False,Aston Martin,Mercedes,False,0.0,0.0,20,opening,fresh,0.020833333333333332,0.9736842105263158,10.0,10.0,0.0,2.25,-0.25,-1.75,0.25,-0.5030788353091822,-1.0466218030872447
SAI,STR,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,5,4,99.413,99.093,0.0,-0.3199999999999932,281.0,288.0,301.0,302.0,295.0,290.0,312.0,304.0,-7.0,-1.0,5.0,8.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,4,5,25.9,31.6,56.0,False,1.8,False,False,0.0,-0.35100000000000264,-0.0710000000000015,-1,False,Ferrari,Aston Martin,False,0.0,0.0,20,opening,fresh,0.26666666666666666,0.9,10.0,10.0,0.0,-0.75,2.25,-1.75,-1.75,-0.6166725441225545,-0.5030788353091822
OCO,SAI,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,6,5,100.245,99.413,0.0,-0.8320000000000078,282.0,281.0,301.0,301.0,291.0,295.0,305.0,312.0,1.0,0.0,-4.0,-7.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,6,4,25.9,31.6,56.0,False,1.8,False,False,0.0,-0.11899999999999977,-0.11599999999999966,-1,False,Alpine,Ferrari,False,0.0,0.0,20,opening,fresh,0.03571428571428571,0.9473684210526315,10.0,10.0,0.0,1.5,-0.75,2.0,-1.75,-0.013455258511690715,-0.6166725441225545
HAM,OCO,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,7,6,101.038,100.245,0.0,-0.7929999999999922,283.0,282.0,295.0,301.0,286.0,291.0,304.0,305.0,1.0,-6.0,-5.0,-1.0,False,False,HARD,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,7,6,25.9,31.6,56.0,False,1.8,False,False,0.0,-0.10999999999999943,-0.10900000000000176,-1,True,Mercedes,Alpine,False,0.0,0.0,20,opening,fresh,0.17647058823529413,0.9137931034482759,10.0,10.0,0.0,-2.75,1.5,-0.25,2.0,1.0466218030872447,-0.013455258511690715
GAS,HAM,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,8,7,102.172,101.038,0.0,-1.1340000000000003,280.0,283.0,298.0,295.0,290.0,286.0,300.0,304.0,-3.0,3.0,4.0,-4.0,False,False,MEDIUM,HARD,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,9,7,25.9,31.6,56.0,False,1.8,False,False,0.0,0.16300000000000026,0.24399999999999977,2,True,Alpine,Mercedes,False,0.0,0.0,20,opening,fresh,0.04,0.8333333333333334,10.0,10.0,0.0,0.0,-2.75,-1.75,-0.25,-0.13571556894194003,1.0466218030872447
LEC,GAS,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,9,8,103.306,102.172,0.0,-1.1340000000000003,278.0,280.0,298.0,298.0,292.0,290.0,306.0,300.0,-2.0,0.0,2.0,6.0,False,False,SOFT,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,12,9,25.9,31.6,56.0,False,1.8,False,False,0.0,-1.024000000000001,-0.002999999999996561,-1,True,Ferrari,Alpine,False,0.0,0.0,20,opening,fresh,0.1,0.896551724137931,10.0,10.0,0.0,-0.25,0.0,1.75,-1.75,0.6166725441225545,-0.13571556894194003
ZHO,LEC,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,10,9,104.564,103.306,0.0,-1.2579999999999956,277.0,278.0,291.0,298.0,289.0,292.0,308.0,306.0,-1.0,-7.0,-3.0,2.0,False,False,MEDIUM,SOFT,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,11,12,25.9,31.6,56.0,False,1.8,False,False,0.0,-0.1529999999999987,-1.0080000000000027,-1,True,Alfa Romeo,Ferrari,False,0.0,0.0,20,opening,fresh,0.09523809523809523,0.9473684210526315,10.0,10.0,0.0,-0.5,-0.25,-0.5,1.75,0.673169277360067,0.6166725441225545
MAG,ZHO,False,2023,Saudi Arabian Grand Prix,2,2023-03-19,1,50,0.02,11,10,104.694,104.564,0.0,-0.13000000000000966,287.0,277.0,293.0,291.0,300.0,289.0,323.0,308.0,10.0,2.0,11.0,15.0,False,False,MEDIUM,MEDIUM,1,1,0,1,1,True,True,False,JEDDAH,1,mixed,False,0,medium-speed,13,11,25.9,31.6,56.0,False,1.8,False,False,0.0,0.36799999999999855,0.08200000000000074,1,False,Haas F1 Team,Alfa Romeo,False,0.0,0.0,20,opening,fresh,0.12195121951219512,0.967741935483871,10.0,10.0,0.0,-2.0,-0.5,-2.0,-0.5,1.5965177277837235,0.673169277360067
