year,round_number,event_name,event_format,status,raw_overtakes,filtered_overtakes,candidate_rows,positive_rows,error
2022,1,Bahrain Grand Prix,conventional,ok,257,43,474,62,
2022,2,Saudi Arabian Grand Prix,conventional,ok,94,35,458,56,
2022,3,Australian Grand Prix,conventional,ok,132,35,670,76,
2022,4,Emilia Romagna Grand Prix,sprint,ok,74,16,547,31,
2022,5,Miami Grand Prix,conventional,ok,153,47,559,81,
2022,6,Spanish Grand Prix,conventional,ok,193,45,387,61,
2022,7,Monaco Grand Prix,conventional,ok,80,9,629,19,
2022,8,Azerbaijan Grand Prix,conventional,ok,107,22,364,45,
2022,9,Canadian Grand Prix,conventional,ok,114,30,672,55,
2022,10,British Grand Prix,conventional,ok,148,40,379,38,
2022,11,Austrian Grand Prix,sprint,ok,262,54,703,97,
2022,12,French Grand Prix,conventional,ok,100,29,555,48,
2022,13,Hungarian Grand Prix,conventional,ok,241,42,561,75,
2022,14,Belgian Grand Prix,conventional,ok,238,44,347,49,
2022,15,Dutch Grand Prix,conventional,ok,181,22,645,40,
2022,16,Italian Grand Prix,conventional,ok,166,45,507,68,
2022,17,Singapore Grand Prix,conventional,ok,64,19,418,21,
2022,18,Japanese Grand Prix,conventional,ok,139,17,193,6,
2022,19,United States Grand Prix,conventional,ok,244,62,533,114,
2022,20,Mexico City Grand Prix,conventional,ok,109,21,597,42,
2022,21,São Paulo Grand Prix,sprint,ok,287,66,693,108,
2022,22,Abu Dhabi Grand Prix,conventional,ok,197,51,489,64,
