year,race_name,round_number,event_format,lap_number,overtaker,overtaken,overtaker_prev_pos,overtaker_next_pos,overtaken_prev_pos,overtaken_next_pos,position_gain,consecutive_before,consecutive_after,pit_related,accurate_timing,safety_car,yellow_flag,lap1_or_restart_like
2024,Bahrain Grand Prix,1,conventional,2,SAR,RIC,15,14,14,15,1,True,True,False,False,False,False,True
2024,Bahrain Grand Prix,1,conventional,3,NOR,ALO,7,6,6,7,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,3,RUS,LEC,3,2,2,3,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,5,PIA,ALO,8,7,7,8,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,5,STR,BOT,19,18,18,19,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,7,PER,LEC,4,3,3,4,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,10,HAM,ALO,9,8,8,9,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,17,SAI,LEC,5,4,4,5,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,17,TSU,STR,12,11,11,12,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,18,SAI,RUS,4,3,3,4,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,21,RIC,OCO,16,15,15,16,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,33,STR,ZHO,15,13,14,14,2,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,34,RUS,ALO,9,6,8,7,3,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,36,NOR,ALO,7,6,5,7,1,False,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,38,MAG,HUL,13,12,12,14,1,True,False,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,38,TSU,HUL,14,13,12,14,1,False,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,39,HAM,ALO,8,7,7,8,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,40,PIA,ALO,9,8,8,9,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,44,ALO,ZHO,11,10,10,11,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,46,LEC,RUS,5,4,4,5,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,48,ALO,STR,10,9,9,10,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,50,HUL,OCO,17,16,16,17,1,True,True,False,True,False,False,False
2024,Bahrain Grand Prix,1,conventional,52,RIC,TSU,14,13,13,14,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,2,PIA,ALO,5,4,4,5,1,True,True,False,False,False,False,True
2024,Saudi Arabian Grand Prix,2,conventional,4,PER,LEC,3,2,2,3,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,10,BEA,TSU,12,11,11,12,1,True,True,False,False,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,10,OCO,ALB,15,14,14,15,1,True,True,False,False,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,13,PER,HAM,4,3,3,4,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,13,VER,NOR,2,1,1,2,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,14,BEA,ZHO,11,10,10,11,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,14,RUS,HUL,9,8,8,9,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,15,LEC,HAM,5,4,4,5,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,16,SAR,BOT,17,16,16,17,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,17,MAG,TSU,13,12,12,13,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,18,BEA,HUL,10,9,9,10,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,18,PER,NOR,3,2,2,3,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,19,HUL,BEA,10,9,9,10,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,21,BEA,HUL,10,9,9,10,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,24,RIC,BOT,18,17,17,18,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,27,LEC,NOR,4,3,3,4,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,29,OCO,TSU,14,13,13,14,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,33,ALB,TSU,15,14,14,15,1,True,True,False,True,False,False,False
2024,Saudi Arabian Grand Prix,2,conventional,43,ALB,OCO,13,12,12,13,1,True,True,False,True,False,False,False
2024,Australian Grand Prix,3,conventional,2,SAI,VER,2,1,1,2,1,True,True,False,False,False,False,True
2024,Australian Grand Prix,3,conventional,12,PIA,HUL,7,6,6,7,1,True,True,False,True,False,False,False
2024,Australian Grand Prix,3,conventional,16,RUS,GAS,8,7,7,8,1,True,True,False,True,False,False,False
2024,Australian Grand Prix,3,conventional,18,PER,STR,8,7,7,8,1,True,True,False,False,False,False,False
2024,Australian Grand Prix,3,conventional,21,PER,RUS,7,6,6,7,1,True,True,False,True,False,False,False
2024,Australian Grand Prix,3,conventional,23,HUL,MAG,12,11,11,12,1,True,True,False,True,False,False,False
2024,Australian Grand Prix,3,conventional,27,PER,ALO,6,5,5,6,1,True,True,False,True,False,False,False
2024,Australian Grand Prix,3,conventional,29,NOR,PIA,4,3,3,4,1,True,True,False,True,False,False,False
2024,Australian Grand Prix,3,conventional,38,RIC,OCO,15,14,14,15,1,True,True,False,True,False,False,False
2024,Australian Grand Prix,3,conventional,40,TSU,GAS,10,9,9,10,1,True,True,False,True,False,False,False
2024,Australian Grand Prix,3,conventional,44,MAG,ALB,12,11,11,12,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,5,BOT,OCO,12,11,11,12,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,5,RUS,TSU,10,9,9,10,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,6,STR,OCO,13,11,12,13,2,True,False,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,8,MAG,GAS,14,12,13,13,2,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,11,SAR,GAS,14,13,13,14,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,13,BOT,GAS,15,13,14,15,2,True,False,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,13,MAG,OCO,12,9,11,10,3,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,13,RUS,HAM,8,6,7,7,2,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,13,TSU,GAS,16,14,14,15,2,False,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,14,HUL,GAS,16,15,15,17,1,True,False,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,15,SAR,OCO,12,11,11,12,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,15,STR,HUL,16,15,15,16,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,16,BOT,OCO,13,12,12,13,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,17,NOR,HAM,5,4,4,6,1,True,False,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,17,STR,OCO,15,14,13,15,1,False,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,17,TSU,OCO,14,13,13,15,1,True,False,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,18,BOT,SAR,12,11,11,12,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,18,HUL,OCO,16,15,15,16,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,18,NOR,RUS,4,3,3,5,1,True,False,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,18,PER,RUS,5,4,3,5,1,False,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,19,SAI,HAM,7,6,6,7,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,21,SAI,RUS,6,5,5,6,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,21,VER,LEC,2,1,1,2,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,22,ALO,HAM,8,6,7,8,2,True,False,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,22,PER,NOR,4,3,3,4,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,25,BOT,OCO,15,14,14,15,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,27,SAR,OCO,16,15,15,16,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,36,PER,LEC,4,3,3,4,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,44,SAI,NOR,5,4,4,5,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,45,STR,BOT,13,12,12,13,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,46,HUL,BOT,14,13,13,14,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,46,SAI,LEC,4,3,3,4,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,46,STR,MAG,12,11,11,12,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,48,HUL,MAG,13,12,12,13,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,52,HUL,STR,12,11,11,12,1,True,True,False,True,False,False,False
2024,Japanese Grand Prix,4,conventional,53,RUS,PIA,8,7,7,8,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,2,MAG,ZHO,18,17,17,18,1,True,True,False,False,False,False,True
2024,Chinese Grand Prix,5,sprint_qualifying,2,SAI,HUL,9,8,8,10,1,True,False,False,False,False,False,True
2024,Chinese Grand Prix,5,sprint_qualifying,2,STR,HUL,10,9,8,10,1,False,True,False,False,False,False,True
2024,Chinese Grand Prix,5,sprint_qualifying,3,HAM,ZHO,19,18,18,19,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,4,HAM,MAG,18,17,17,18,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,5,PER,ALO,3,2,2,3,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,7,BOT,HUL,11,10,10,11,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,7,NOR,ALO,4,3,3,4,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,9,LEC,RUS,7,6,6,7,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,11,LEC,PIA,6,4,5,5,2,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,13,HAM,TSU,17,15,16,16,2,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,15,STR,MAG,11,9,10,10,2,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,16,VER,LEC,3,2,2,3,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,17,RIC,ALB,17,16,16,17,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,19,RIC,TSU,15,14,14,15,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,19,VER,NOR,2,1,1,2,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,26,HUL,RIC,11,9,9,10,2,False,True,False,False,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,27,ALO,SAI,6,5,5,6,1,True,True,False,False,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,27,HAM,OCO,12,11,11,12,1,True,True,False,False,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,28,RIC,HUL,10,9,9,10,1,True,True,False,False,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,32,HAM,RIC,11,10,9,12,1,False,False,False,False,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,32,HUL,RIC,10,9,9,12,1,True,False,False,False,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,32,OCO,RIC,12,11,9,12,1,False,True,False,False,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,33,GAS,ZHO,16,14,15,15,2,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,34,STR,MAG,17,16,16,17,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,37,GAS,SAR,14,13,13,14,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,38,ZHO,SAR,15,13,14,14,2,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,39,PER,LEC,4,3,3,4,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,41,HAM,HUL,10,9,9,10,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,43,MAG,SAR,14,13,13,14,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,46,ALO,OCO,11,10,10,11,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,47,ALO,HUL,10,9,9,10,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,48,GAS,SAR,15,14,14,15,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,49,ALO,HAM,9,7,8,9,2,True,False,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,49,ALO,PIA,9,7,7,8,2,False,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,49,ZHO,SAR,16,15,15,16,1,True,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,53,GAS,MAG,14,13,13,15,1,True,False,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,53,ZHO,MAG,15,14,13,15,1,False,True,False,True,False,False,False
2024,Chinese Grand Prix,5,sprint_qualifying,55,STR,SAR,17,16,16,17,1,True,True,False,True,False,False,False
