"attacker","defender","overtake","attacker_speed","defender_speed","speed_difference","lap_number","safety_car","yellow_flag","attacker_tyre_compound","defender_tyre_compound","attacker_tyre_age","defender_tyre_age","tyre_age_difference","track","sector","sector_type","is_in_drs_zone","drs_zone_length","track_type","attacker_qualification_rank","defender_qualification_rank"
"ALB","ALO","false","104.688","104.505","0.18300000000000693","6","false","false","MEDIUM","HARD","6","6","0","AUSTIN","1","mixed","false","0","street","8","14"
"ALB","ALO","false","104.585","104.272","0.3129999999999882","7","false","false","MEDIUM","HARD","7","7","0","AUSTIN","1","mixed","false","0","street","8","14"
"ALB","ALO","false","102.855","101.931","0.9240000000000066","27","false","false","HARD","MEDIUM","17","8","9","AUSTIN","1","mixed","false","0","street","15","19"
"ALB","ALO","false","103.718","103.174","0.5439999999999969","34","false","false","HARD","HARD","16","12","4","AUSTIN","1","mixed","false","0","street","8","14"
"ALB","ALO","false","103.482","103.086","0.3960000000000008","35","false","false","HARD","HARD","17","13","4","AUSTIN","1","mixed","false","0","street","8","14"
"ALB","ALO","false","103.158","103.235","-0.07699999999999818","36","false","false","HARD","HARD","18","14","4","AUSTIN","1","mixed","false","0","street","8","14"
"ALB","ALO","false","103.179","102.978","0.20100000000000762","37","false","false","HARD","HARD","19","15","4","AUSTIN","1","mixed","false","0","street","8","14"
"ALB","ALO","false","103.259","102.975","0.284000000000006","38","false","false","HARD","HARD","20","16","4","AUSTIN","1","mixed","false","0","street","8","14"
"ALB","ALO","false","102.917","103.117","-0.20000000000000284","39","false","false","HARD","HARD","21","17","4","AUSTIN","1","mixed","false","0","street","8","14"
"ALB","ALO","true","109.291","109.354","-0.06300000000000239","10","false","false","HARD","MEDIUM","10","11","1","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","108.124","108.131","-0.007000000000005002","38","false","false","MEDIUM","HARD","7","28","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","108.117","107.97","0.14700000000000557","39","false","false","MEDIUM","HARD","8","29","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","107.613","107.719","-0.10599999999999454","40","false","false","MEDIUM","HARD","9","30","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","107.953","107.956","-0.0030000000000001137","41","false","false","MEDIUM","HARD","10","31","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","107.213","107.351","-0.13800000000000523","42","false","false","MEDIUM","HARD","11","32","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","106.947","107.486","-0.5390000000000015","43","false","false","MEDIUM","HARD","12","33","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","107.04","107.465","-0.42499999999999716","44","false","false","MEDIUM","HARD","13","34","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","107.392","107.498","-0.10600000000000875","45","false","false","MEDIUM","HARD","14","35","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","107.586","107.571","0.015000000000000568","46","false","false","MEDIUM","HARD","15","36","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","107.569","107.354","0.2150000000000034","47","false","false","MEDIUM","HARD","16","37","21","BAKU","1","mixed","false","0","street","9","7"
"ALB","ALO","false","107.153","107.057","0.09600000000000364","48","false","false","MEDIUM","HARD","17","38","21","BAKU","1","mixed","false","0","street","9","7"
