year,round_number,event_name,event_format,status,raw_overtakes,filtered_overtakes,candidate_rows,positive_rows,error
2023,1,Bahrain Grand Prix,conventional,ok,189,20,423,39,
2023,2,Saudi Arabian Grand Prix,conventional,ok,116,36,544,70,
2023,3,Australian Grand Prix,conventional,ok,86,39,579,62,
2023,4,Azerbaijan Grand Prix,sprint_shootout,ok,99,18,627,26,
2023,5,Miami Grand Prix,conventional,ok,155,50,614,94,
2023,6,Monaco Grand Prix,conventional,ok,102,17,688,14,
2023,7,Spanish Grand Prix,conventional,ok,283,43,579,74,
2023,8,Canadian Grand Prix,conventional,ok,122,20,772,43,
2023,9,Austrian Grand Prix,sprint_shootout,ok,189,36,581,58,
2023,10,British Grand Prix,conventional,ok,107,26,649,49,
2023,11,Hungarian Grand Prix,conventional,ok,166,14,499,24,
2023,12,Belgian Grand Prix,sprint_shootout,ok,224,49,418,77,
2023,13,Dutch Grand Prix,conventional,ok,366,72,674,98,
2023,14,Italian Grand Prix,conventional,ok,165,22,526,43,
2023,15,Singapore Grand Prix,conventional,ok,118,47,695,40,
2023,16,Japanese Grand Prix,conventional,ok,192,22,273,31,
2023,17,Qatar Grand Prix,sprint_shootout,ok,403,44,440,67,
2023,18,United States Grand Prix,sprint_shootout,ok,224,48,401,56,
2023,19,Mexico City Grand Prix,conventional,ok,168,51,779,78,
2023,20,São Paulo Grand Prix,sprint_shootout,ok,144,21,386,45,
2023,21,Las Vegas Grand Prix,conventional,ok,236,82,576,119,
2023,22,Abu Dhabi Grand Prix,conventional,ok,304,57,611,82,
