year,race_name,round_number,event_format,lap_number,overtaker,overtaken,overtaker_prev_pos,overtaker_next_pos,overtaken_prev_pos,overtaken_next_pos,position_gain,consecutive_before,consecutive_after,pit_related,accurate_timing,safety_car,yellow_flag,lap1_or_restart_like
2022,Bahrain Grand Prix,1,conventional,2,STR,NOR,17,16,16,17,1,True,True,False,False,False,False,True
2022,Bahrain Grand Prix,1,conventional,2,ZHO,LAT,19,18,18,19,1,True,True,False,False,False,False,True
2022,Bahrain Grand Prix,1,conventional,3,PER,MAG,6,5,5,6,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,3,ZHO,NOR,18,17,17,18,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,4,ZHO,STR,17,16,16,17,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,5,RUS,MAG,7,6,6,7,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,5,TSU,ALB,12,11,11,12,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,5,ZHO,HUL,16,15,15,16,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,6,BOT,MSC,14,13,13,14,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,6,RIC,LAT,20,19,19,20,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,7,LAT,RIC,20,19,19,20,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,7,ZHO,MSC,15,14,14,15,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,8,BOT,ALB,13,12,12,13,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,8,OCO,ALO,10,9,9,10,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,9,STR,HUL,17,16,16,17,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,10,PER,HAM,5,4,4,5,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,10,STR,MSC,16,15,15,16,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,10,ZHO,ALB,14,13,13,14,1,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,12,RIC,LAT,20,18,19,19,2,True,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,14,ALO,HUL,17,14,15,15,3,False,True,False,True,False,False,False
2022,Bahrain Grand Prix,1,conventional,14,ALO,NOR,17,14,16,16,3,True,False,False,True,False,False,False
