year,race_name,round_number,event_format,lap_number,overtaker,overtaken,overtaker_prev_pos,overtaker_next_pos,overtaken_prev_pos,overtaken_next_pos,position_gain,consecutive_before,consecutive_after,pit_related,accurate_timing,safety_car,yellow_flag,lap1_or_restart_like
2023,Bahrain Grand Prix,1,conventional,2,GAS,MAG,19,18,18,19,1,True,True,False,False,False,False,True
2023,Bahrain Grand Prix,1,conventional,3,DEV,MAG,20,19,19,20,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,4,ALB,NOR,12,11,10,12,1,False,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,4,OCO,NOR,11,10,10,12,1,True,False,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,4,TSU,HUL,15,14,14,15,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,5,STR,BOT,9,8,8,9,1,True,True,False,True,False,False,False
2023,Bahrain Grand Prix,1,conventional,9,DEV,GAS,19,18,18,19,1,True,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,10,MAG,GAS,20,19,19,20,1,True,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,10,SAR,NOR,13,12,12,13,1,True,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,DEV,NOR,18,17,13,20,1,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,DEV,TSU,18,17,14,18,1,False,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,GAS,NOR,20,19,13,20,1,False,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,HUL,NOR,15,16,13,20,-1,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,HUL,TSU,15,16,14,18,-1,True,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,MAG,DEV,19,15,18,17,4,True,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,MAG,HUL,19,15,15,16,4,False,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,MAG,NOR,19,15,13,20,4,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,MAG,TSU,19,15,14,18,4,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,PIA,HUL,16,13,15,16,3,True,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,PIA,NOR,16,13,13,20,3,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,PIA,TSU,16,13,14,18,3,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,SAR,ALB,12,11,11,12,1,True,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,TSU,NOR,14,18,13,20,-4,True,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,ZHO,HUL,17,14,15,16,3,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,ZHO,NOR,17,14,13,20,3,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,11,ZHO,TSU,17,14,14,18,3,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,12,ALO,HAM,7,6,5,7,1,False,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,12,DEV,HUL,17,19,16,20,-2,True,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,12,GAS,DEV,19,17,17,19,2,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,12,GAS,HUL,19,17,16,20,2,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,12,MAG,ALB,15,13,12,15,2,False,False,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,12,MAG,BOT,15,13,9,14,2,False,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,12,NOR,DEV,20,18,17,19,2,False,True,True,False,False,False,False
2023,Bahrain Grand Prix,1,conventional,12,NOR,HUL,20,18,16,20,2,False,False,True,False,False,False,False
